FileNo,Date/time,Latitude,Longitude,Elevation
1,2022-05-09 00:02:05.313463,37.518616666970004,86.15509898167723,416.63809225253414
2,2022-05-09 00:02:20.380886,36.90422167363079,87.04208746031783,416.5732882766466
3,2022-05-09 00:02:35.032574,36.29953001481571,87.89008458287023,416.51128583543624
4,2022-05-09 00:02:49.697117,35.68746527384699,88.72479212267596,416.45040426287875
5,2022-05-09 00:03:04.322597,35.07042538441695,89.54371438523627,416.39101953032787
6,2022-05-09 00:03:18.984615,34.445497172586975,90.35141728552044,416.33299533174454
7,2022-05-09 00:03:33.658114,33.813950030025744,91.14683239704128,416.2766061589765
8,2022-05-09 00:03:48.332564,33.1764430774671,91.92976218767568,416.2220616057189
9,2022-05-09 00:04:03.232589,32.52332471764631,92.71225751132137,416.1687438937104
10,2022-05-09 00:04:17.882338,31.875675972959154,93.46973802551025,416.11851884139094
11,2022-05-09 00:04:32.552422,31.221868460006892,94.21684005087134,416.0705737957486
12,2022-05-09 00:04:47.405650,30.55475484980803,94.96196614486041,416.02459550895776
13,2022-05-09 00:05:02.272477,29.88203821244347,95.69676276573428,415.9813286643567
14,2022-05-09 00:05:16.948468,29.213260110737778,96.41166317027991,415.9414846598957
15,2022-05-09 00:05:31.603854,28.540918857953773,97.11555842246143,415.9046988363738
16,2022-05-09 00:05:46.255685,27.86446340569589,97.80958205701376,415.871081353802
17,2022-05-09 00:06:00.934147,27.18262868416091,98.49550588329015,415.84072494733556
18,2022-05-09 00:06:15.619160,26.496513535791753,99.17267195212065,415.81383727918325
19,2022-05-09 00:06:30.312923,25.806153881510774,99.84150500356763,415.7905711056133
20,2022-05-09 00:06:45.185650,25.103655258622137,100.50989160717839,415.7708800858518
21,2022-05-09 00:07:00.106926,24.395255464761316,101.17209018437369,415.7551776490452
22,2022-05-09 00:07:14.791243,23.694696619649157,101.81592516080775,415.7438325127209
23,2022-05-09 00:07:29.648395,22.982635958371038,102.45968608982591,415.7366448287178
24,2022-05-09 00:07:44.517198,22.266855695341476,103.09657137540052,415.7339124575507
25,2022-05-09 00:07:59.199285,21.55711134818953,103.71849266126343,415.7357271353246
26,2022-05-09 00:08:13.849172,20.84610565606138,104.33245334372704,415.7421352897112
27,2022-05-09 00:08:28.711554,20.12206292698308,104.94884831027385,415.75345532012517
28,2022-05-09 00:08:43.586842,19.394776014352505,105.55952971203378,415.7697682662815
29,2022-05-09 00:08:58.450056,18.66558367475409,106.16375420588717,415.7911663423348
30,2022-05-09 00:09:13.138231,17.942645267212324,106.75527586350407,415.8174308489208
31,2022-05-09 00:09:27.817384,17.2179349252985,107.34115363165124,415.848868916347
32,2022-05-09 00:09:42.753524,16.47840218029805,107.93211088407573,415.8862849277861
33,2022-05-09 00:09:57.421434,15.750155418211907,108.50763145693969,415.92845370259954
34,2022-05-09 00:10:12.338675,15.007630762493864,109.08826974154218,415.97694425450715
35,2022-05-09 00:10:27.019333,14.275084026638874,109.65537548288891,416.03027181677845
36,2022-05-09 00:10:41.695566,13.541085434877722,110.21825327937204,416.08922081613
37,2022-05-09 00:10:56.569744,12.79562517196887,110.78478951388279,416.1547871766902
38,2022-05-09 00:11:11.233385,12.059222366987301,111.33970228438616,416.2252352876738
39,2022-05-09 00:11:25.885128,11.322055265312203,111.89079759868356,416.30144681577366
40,2022-05-09 00:11:40.539850,10.583472549931367,112.43885776349796,416.3835485015451
41,2022-05-09 00:11:55.436829,9.831493669079533,112.99296543723054,416.4730774936265
42,2022-05-09 00:12:10.111686,9.089605298791508,113.53609336593341,416.56730395616813
43,2022-05-09 00:12:24.726253,8.349793500577013,114.07448930307439,416.66712428232717
44,2022-05-09 00:12:39.390351,7.606580656512723,114.61241821971842,416.7733126428264
45,2022-05-09 00:12:54.042855,6.8631144073789025,115.14786207382963,416.88547843170346
46,2022-05-09 00:13:08.683489,6.119534413088273,115.6809950654077,417.00361656423996
47,2022-05-09 00:13:23.552645,5.363690825496141,116.22074833546314,417.1298147213894
48,2022-05-09 00:13:38.421776,4.607273664037799,116.75899797203618,417.2622810029356
49,2022-05-09 00:13:53.346958,3.8475209466472844,117.29797382141355,417.4015465089589
50,2022-05-09 00:14:08.246684,3.088665184815786,117.83494162914346,417.5468604764093
51,2022-05-09 00:14:22.920348,2.341000056413038,118.36291629689562,417.69609510724376
52,2022-05-09 00:14:37.586083,1.593530603221326,118.88994692221722,417.85129382453556
53,2022-05-09 00:14:52.186268,0.8492592975874875,119.41417730701009,418.0117754382498
54,2022-05-09 00:15:06.796922,0.10440673033339717,119.9385260045176,418.1783025286838
55,2022-05-09 00:15:21.638064,-0.6521624090235159,120.47108481468356,418.35348623222745
56,2022-05-09 00:15:36.271511,-1.3980440505548137,120.99633995950211,418.5321215584275
57,2022-05-09 00:15:50.929384,-2.144979465419708,121.52281170638163,418.71687226615245
58,2022-05-09 00:16:05.564166,-2.8904651205840497,122.0489904646409,418.9070769748024
59,2022-05-09 00:16:20.439895,-3.6478656359480097,122.58458886722076,419.1062258146243
60,2022-05-09 00:16:35.277592,-4.40286695340108,123.11977185405091,419.3106192507967
61,2022-05-09 00:16:50.155507,-5.159393541864715,123.65759161928668,419.5212576716232
62,2022-05-09 00:17:04.802625,-5.903554054176062,124.18840731448805,419.73409416634854
63,2022-05-09 00:17:19.439327,-6.646486111459522,124.72038202848276,419.9521025243446
64,2022-05-09 00:17:34.085180,-7.3891407821636665,125.25446021363398,420.1754839322477
65,2022-05-09 00:17:48.704464,-8.129563321585787,125.78949723970246,420.40355820302284
